date_mutation;surface_reelle_bati;nombre_pieces_principales;code_departement;code_postal;longitude;latitude;type_local;valeur_fonciere
2025-06-30;89.0;0.0;75;75008;2.306719074;48.87413732;Activite;1420000.0
2025-06-27;79.0;4.0;75;75008;2.317149465;48.87480043;Appartement;980000.0
2025-06-26;111.0;2.0;75;75008;2.305856195;48.86641689;Appartement;3500000.0
2025-06-25;80.0;4.0;75;75008;2.303587018;48.86816537;Appartement;600000.0
2025-06-24;90.0;4.0;75;75008;2.319427689;48.8705674;Appartement;1497100.0
2025-06-23;62.0;2.0;75;75008;2.317149465;48.87480043;Appartement;742400.0
2025-06-20;49.0;2.0;75;75008;2.313147431;48.87019573;Appartement;636000.0
2025-06-20;77.0;2.0;75;75008;2.308632527;48.87143005;Appartement;1043677.0
2025-06-18;99.0;4.0;75;75008;2.307162885;48.87364252;Appartement;1210000.0
2025-06-16;61.0;0.0;75;75008;2.316643664;48.87382423;Activite;660000.0
2025-06-16;113.0;3.0;75;75008;2.309131969;48.87766992;Appartement;1800000.0
2025-06-12;46.0;1.0;75;75008;2.32013493;48.86974308;Appartement;684374.0
2025-06-10;30.0;2.0;75;75008;2.318062902;48.87347668;Appartement;355225.0
2025-06-10;73.0;3.0;75;75008;2.312166229;48.87135155;Appartement;880400.0
2025-06-06;45.0;1.0;75;75008;2.304587746;48.87167122;Bati mixte - logement/activite;613000.0
2025-06-04;72.0;3.0;75;75008;2.320450277;48.87311941;Appartement;900000.0
2025-06-02;30.0;2.0;75;75008;2.303763754;48.87257272;Appartement;430000.0
2025-05-28;35.0;2.0;75;75008;2.321063883;48.86876733;Appartement;400000.0
2025-05-28;45.0;2.0;75;75008;2.307948567;48.86756697;Appartement;1270000.0
2025-05-28;106.0;5.0;75;75008;2.308774496;48.87208268;Appartement;930000.0
2025-05-27;82.0;4.0;75;75008;2.312248189;48.87821741;Appartement;987600.0
2025-05-27;104.0;4.0;75;75008;2.318579364;48.87509094;Appartement;1295486.0
2025-05-26;51.0;1.0;75;75008;2.304703248;48.86569608;Appartement;1632000.0
2025-05-26;60.0;0.0;75;75008;2.30035349;48.87470203;Activite;680000.0
2025-05-23;43.0;0.0;75;75008;2.304703248;48.86569608;Activite;902500.0
2025-05-22;58.0;0.0;75;75008;2.31567213;48.8709348;Activite;450000.0
2025-05-20;48.0;1.0;75;75008;2.313047964;48.86989734;Appartement;949980.0
2025-05-20;31.0;0.0;75;75008;2.315293653;48.87133609;Activite;480000.0
2025-05-19;68.0;2.0;75;75008;2.304703248;48.86569608;Appartement;1632000.0
2025-05-16;106.0;0.0;75;75008;2.305286118;48.86877783;Activite;1600000.0
2025-05-15;63.0;0.0;75;75008;2.306387058;48.87429626;Activite;1195000.0
2025-05-15;40.0;3.0;75;75008;2.307068296;48.87286365;Appartement indetermine;250000.0
2025-05-13;120.0;0.0;75;75008;2.304276016;48.87026522;Activite;2500000.0
2025-05-12;55.0;3.0;75;75008;2.300096608;48.86903281;Appartement;850000.0
2025-05-07;39.0;1.0;75;75008;2.304587746;48.87167122;Appartement;900000.0
2025-05-05;86.0;3.0;75;75008;2.319427689;48.8705674;Appartement;1213900.0
2025-05-05;82.0;4.0;75;75008;2.30011675;48.86954099;Appartement;870000.0
2025-04-30;60.0;3.0;75;75008;2.316097717;48.87457957;Appartement;360000.0
2025-04-30;45.0;2.0;75;75008;2.31076717;48.87298349;Appartement;420000.0
2025-04-30;44.0;2.0;75;75008;2.32013493;48.86974308;Appartement;800000.0
2025-04-29;120.0;5.0;75;75008;2.320914839;48.87077404;Appartement;1300000.0
2025-04-28;58.0;3.0;75;75008;2.303744932;48.8666359;Appartement;939794.0
2025-04-28;113.0;2.0;75;75008;2.316438226;48.87639892;Appartement;700000.0
2025-04-24;45.0;2.0;75;75008;2.310521207;48.87004025;Appartement;730500.0
2025-04-17;79.0;4.0;75;75008;2.308126272;48.87440916;Appartement;935000.0
2025-04-15;38.0;2.0;75;75008;2.318915572;48.87308301;Appartement;485620.0
2025-04-14;48.0;0.0;75;75008;2.31423778;48.87749514;Activite;550000.0
2025-04-11;34.0;2.0;75;75008;2.299533758;48.86789377;Appartement;410000.0
2025-04-09;78.0;2.0;75;75008;2.320849959;48.87279342;Appartement;1000000.0
2025-04-01;67.0;2.0;75;75008;2.316323824;48.87723245;Bati mixte - logement/activite;700000.0
2025-03-31;60.0;3.0;75;75008;2.316548274;48.87675515;Appartement;733295.0
2025-03-31;58.0;3.0;75;75008;2.304084836;48.87534547;Appartement;730000.0
2025-03-31;78.0;0.0;75;75008;2.317149465;48.87480043;Activite;720000.0
2025-03-31;107.0;4.0;75;75008;2.314314597;48.87888311;Appartement;4050000.0
2025-03-28;81.0;4.0;75;75008;2.304885843;48.86672827;Appartement;1700000.0
2025-03-28;101.0;0.0;75;75008;2.307593761;48.8744393;Activite;706000.0
2025-03-28;94.0;0.0;75;75008;2.317273097;48.87086452;Activite;1390000.0
2025-03-28;60.0;2.0;75;75008;2.317149465;48.87480043;Appartement;705000.0
2025-03-28;55.0;0.0;75;75008;2.30744299;48.87533345;Activite;510000.0
2025-03-27;32.0;2.0;75;75008;2.311979197;48.87182892;Appartement;275000.0
2025-03-27;45.0;0.0;75;75008;2.306478412;48.87382223;Activite;400000.0
2025-03-26;39.0;2.0;75;75008;2.322084393;48.869668;Appartement;571855.0
2025-03-26;38.0;2.0;75;75008;2.307435676;48.86835148;Appartement;925000.0
2025-03-21;100.0;4.0;75;75008;2.311337822;48.87114295;Appartement;473000.0
2025-03-20;35.0;1.0;75;75008;2.312476578;48.87364391;Appartement;491610.0
2025-03-19;58.0;2.0;75;75008;2.307498887;48.86569882;Appartement;1110000.0
2025-03-18;96.0;4.0;75;75008;2.307413068;48.8739499;Appartement;1250000.0
2025-03-17;53.0;2.0;75;75008;2.307593119;48.8767918;Appartement;72900.0
2025-03-13;42.0;3.0;75;75008;2.306069593;48.87453509;Appartement;539000.0
2025-03-12;72.0;0.0;75;75008;2.304081971;48.87307587;Activite;1300000.0
2025-03-11;58.0;2.0;75;75008;2.304703248;48.86569608;Appartement;1530000.0
2025-03-07;108.0;0.0;75;75008;2.305637454;48.87107364;Activite;1000000.0
2025-03-06;71.0;0.0;75;75008;2.317491652;48.87639469;Activite;600000.0
2025-03-04;81.0;4.0;75;75008;2.317803901;48.87404832;Appartement;1301500.0
2025-03-03;65.0;3.0;75;75008;2.315345046;48.8729968;Appartement;899000.0
2025-02-28;68.0;3.0;75;75008;2.314715004;48.87406313;Appartement;653846.0
2025-02-27;74.0;0.0;75;75008;2.316204923;48.87264947;Activite;620000.0
2025-02-27;63.0;0.0;75;75008;2.31810997;48.87091464;Activite;540000.0
2025-02-25;80.0;3.0;75;75008;2.302902841;48.87665281;Appartement;1082000.0
2025-02-24;100.0;4.0;75;75008;2.302921184;48.87336244;Appartement;1400000.0
2025-02-20;100.0;3.0;75;75008;2.312697703;48.87827705;Appartement;1881500.0
2025-02-19;109.0;0.0;75;75008;2.306387058;48.87429626;Activite;30000.0
2025-02-19;120.0;5.0;75;75008;2.311038974;48.86984654;Appartement;2020000.0
2025-02-19;52.0;0.0;75;75008;2.31459452;48.87186669;Activite;520000.0
2025-02-18;54.0;0.0;75;75008;2.310732035;48.87122716;Activite;430000.0
2025-02-18;104.0;0.0;75;75008;2.305856195;48.86641689;Activite;21000000.0
2025-02-14;43.0;3.0;75;75008;2.302861548;48.8736721;Appartement;476000.0
2025-02-13;70.0;3.0;75;75008;2.321058576;48.87109795;Appartement;835000.0
2025-02-12;87.0;2.0;75;75008;2.317748616;48.87103928;Appartement;1333400.0
2025-02-11;50.0;2.0;75;75008;2.30488551;48.86861151;Appartement;469811.0
2025-02-10;101.0;4.0;75;75008;2.307162885;48.87364252;Appartement;1211800.0
2025-02-10;71.0;0.0;75;75008;2.299369233;48.87529762;Activite;992700.0
2025-02-07;57.0;2.0;75;75008;2.306683585;48.87341382;Appartement;627045.0
2025-02-07;120.0;5.0;75;75008;2.299685886;48.8702235;Appartement;45000.0
2025-02-06;69.0;3.0;75;75008;2.315155146;48.87135618;Appartement;1584200.0
2025-02-06;49.0;2.0;75;75008;2.30904877;48.87118505;Appartement;555000.0
2025-02-06;34.0;2.0;75;75008;2.314183222;48.87616725;Deux appartements;1040381.0
2025-02-05;40.0;1.0;75;75008;2.308930677;48.86622679;Appartement;620000.0
2025-02-03;69.0;2.0;75;75008;2.300179383;48.87020522;Appartement;950000.0
2025-01-31;45.0;2.0;75;75008;2.308843276;48.87079204;Appartement;543681.0
2025-01-29;47.0;1.0;75;75008;2.305613322;48.87226806;Appartement;425000.0
2025-01-28;65.0;3.0;75;75008;2.307075639;48.8678345;Appartement;1000000.0
2025-01-28;57.0;2.0;75;75008;2.312886772;48.87720116;Appartement;633250.0
2025-01-28;93.0;0.0;75;75008;2.303447247;48.87314815;Activite;480000.0
2025-01-27;92.0;3.0;75;75008;2.318393859;48.87282705;Appartement;937000.0
2025-01-24;49.0;2.0;75;75008;2.303022124;48.87335178;Appartement;430300.0
2025-01-23;99.0;0.0;75;75008;2.312213001;48.87302798;Activite;430000.0
