date_mutation;surface_reelle_bati;nombre_pieces_principales;code_departement;code_postal;longitude;latitude;type_local;valeur_fonciere
2025-06-30;90.0;3.0;75;75004;2.362662267;48.85260166;Appartement;1300000.0
2025-06-27;45.0;2.0;75;75004;2.357435146;48.85633162;Appartement;450000.0
2025-06-27;35.0;2.0;75;75004;2.364544007;48.85299321;Appartement;680000.0
2025-06-26;94.0;4.0;75;75004;2.367477638;48.85246621;Appartement;1150000.0
2025-06-25;45.0;2.0;75;75004;2.362381386;48.85506721;Appartement;690000.0
2025-06-25;46.0;3.0;75;75004;2.358565721;48.85561688;Appartement;528000.0
2025-06-23;73.0;4.0;75;75004;2.360982989;48.85558448;Appartement;1246100.0
2025-06-20;51.0;3.0;75;75004;2.361056778;48.85644566;Appartement;526000.0
2025-06-19;30.0;1.0;75;75004;2.350992593;48.85980337;Appartement;216993.0
2025-06-17;50.0;0.0;75;75004;2.367608808;48.85460458;Activite;500000.0
2025-06-17;30.0;1.0;75;75004;2.36236602;48.85252084;Appartement;362000.0
2025-06-16;95.0;0.0;75;75004;2.361477077;48.85537628;Activite;1685800.0
2025-06-13;97.0;3.0;75;75004;2.366063274;48.84905252;Appartement;1870640.0
2025-06-11;35.0;1.0;75;75004;2.353746241;48.86057289;Appartement;414150.0
2025-06-11;115.0;5.0;75;75004;2.355343315;48.86033984;Appartement;1395900.0
2025-06-11;80.0;3.0;75;75004;2.349903434;48.85921709;Appartement;670000.0
2025-06-11;40.0;3.0;75;75004;2.367037078;48.85452315;Appartement;436620.0
2025-06-10;40.0;2.0;75;75004;2.363520604;48.85465765;Appartement;522500.0
2025-06-06;87.0;5.0;75;75004;2.367503732;48.85201535;Appartement;1049350.0
2025-06-06;68.0;4.0;75;75004;2.355927828;48.85675268;Appartement;1125000.0
2025-06-03;85.0;4.0;75;75004;2.356641428;48.85745478;Appartement indetermine;1092500.0
2025-06-03;60.0;3.0;75;75004;2.366901193;48.85566733;Appartement;970000.0
2025-06-02;103.0;4.0;75;75004;2.351668022;48.85924665;Appartement;240000.0
2025-05-28;82.0;4.0;75;75004;2.349262875;48.85946535;Appartement;750000.0
2025-05-28;46.0;2.0;75;75004;2.364678783;48.85430918;Appartement;520000.0
2025-05-28;64.0;0.0;75;75004;2.357401621;48.85747788;Activite;1200000.0
2025-05-27;54.0;3.0;75;75004;2.364338826;48.85587914;Appartement;666000.0
2025-05-23;39.0;2.0;75;75004;2.363629784;48.85187006;Appartement;555000.0
2025-05-22;60.0;3.0;75;75004;2.358121647;48.8573198;Appartement;871770.0
2025-05-22;110.0;6.0;75;75004;2.349739157;48.85747533;Appartement;1176000.0
2025-05-21;70.0;3.0;75;75004;2.356296675;48.85992237;Appartement;166400.0
2025-05-20;65.0;3.0;75;75004;2.361339765;48.85548015;Appartement;737000.0
2025-05-19;62.0;3.0;75;75004;2.354026978;48.8585637;Appartement;620000.0
2025-05-19;117.0;5.0;75;75004;2.354512975;48.85801136;Appartement;1387366.6
2025-05-19;55.0;2.0;75;75004;2.36385243;48.85642196;Deux appartements;237000.0
2025-05-16;32.0;1.0;75;75004;2.350508889;48.85970194;Appartement;445000.0
2025-05-15;55.0;1.0;75;75004;2.363475744;48.85304659;Bati mixte - logement/activite;636760.0
2025-05-15;113.0;4.0;75;75004;2.354065815;48.85799658;Appartement;1583870.0
2025-05-15;110.0;4.0;75;75004;2.354512975;48.85801136;Appartement;1212700.0
2025-05-13;40.0;3.0;75;75004;2.349751591;48.85860966;Appartement;560000.0
2025-05-07;43.0;2.0;75;75004;2.363605699;48.85270154;Appartement;544300.0
2025-05-07;95.0;2.0;75;75004;2.351368648;48.86157428;Appartement;620000.0
2025-05-07;68.0;3.0;75;75004;2.363274685;48.85230403;Appartement;700500.0
2025-05-06;35.0;1.0;75;75004;2.353688863;48.85810604;Appartement;646000.0
2025-05-06;80.0;4.0;75;75004;2.361477077;48.85537628;Appartement;1127920.0
2025-04-29;38.0;3.0;75;75004;2.363722903;48.85403667;Appartement;560000.0
2025-04-29;43.0;3.0;75;75004;2.364952892;48.84984344;Appartement;430000.0
2025-04-24;76.0;4.0;75;75004;2.360982989;48.85558448;Appartement;1118200.0
2025-04-24;58.0;2.0;75;75004;2.356424848;48.85647436;Bati mixte - logement/activite;138095.0
2025-04-23;85.0;4.0;75;75004;2.350734561;48.85796818;Appartement;1320000.0
2025-04-18;57.0;2.0;75;75004;2.353518903;48.8579508;Appartement;700000.0
2025-04-17;33.0;2.0;75;75004;2.36328118;48.85284908;Appartement;435000.0
2025-04-10;98.0;4.0;75;75004;2.357685264;48.85587281;Appartement;1683750.0
2025-04-09;99.0;4.0;75;75004;2.363565535;48.85392065;Appartement;1300000.0
2025-04-08;49.0;3.0;75;75004;2.36467031;48.85354339;Appartement;840000.0
2025-04-04;69.0;3.0;75;75004;2.359938111;48.85460704;Appartement;697900.0
2025-03-31;30.0;2.0;75;75004;2.351040433;48.86147663;Appartement;402690.0
2025-03-31;36.0;2.0;75;75004;2.359564818;48.85733296;Appartement;324000.0
2025-03-31;70.0;3.0;75;75004;2.363380979;48.85393478;Appartement;751000.0
2025-03-31;38.0;1.0;75;75004;2.357827806;48.85662963;Appartement;488000.0
2025-03-31;33.0;2.0;75;75004;2.3630739;48.85595414;Appartement;418000.0
2025-03-31;44.0;2.0;75;75004;2.363274685;48.85230403;Appartement;620000.0
2025-03-31;31.0;2.0;75;75004;2.362918745;48.85642262;Appartement;363000.0
2025-03-31;56.0;3.0;75;75004;2.359303906;48.85810315;Appartement;930000.0
2025-03-31;56.0;3.0;75;75004;2.361774758;48.85337198;Appartement;637900.0
2025-03-31;105.0;4.0;75;75004;2.354182479;48.85813733;Appartement;1500000.0
2025-03-31;37.0;2.0;75;75004;2.359499711;48.85794813;Appartement;595500.0
2025-03-31;44.0;2.0;75;75004;2.364948975;48.84877505;Appartement;540000.0
2025-03-31;56.0;0.0;75;75004;2.353836111;48.85978796;Activite;570000.0
2025-03-31;36.0;2.0;75;75004;2.355954264;48.85699759;Appartement;416500.0
2025-03-28;67.0;3.0;75;75004;2.36322622;48.85160609;Appartement;850000.0
2025-03-28;96.0;4.0;75;75004;2.365019281;48.85212967;Appartement;1160000.0
2025-03-28;30.0;2.0;75;75004;2.362409453;48.85287231;Appartement;319270.0
2025-03-26;45.0;1.0;75;75004;2.353536214;48.86085645;Appartement;525000.0
2025-03-26;100.0;4.0;75;75004;2.35752269;48.85705149;Appartement;1340000.0
2025-03-25;38.0;2.0;75;75004;2.361835735;48.85284808;Appartement;485000.0
2025-03-25;70.0;3.0;75;75004;2.356326912;48.85790182;Appartement;915000.0
2025-03-25;46.0;2.0;75;75004;2.366063274;48.84905252;Appartement;1100.0
2025-03-24;33.0;1.0;75;75004;2.350750159;48.85945322;Appartement;325000.0
2025-03-24;36.0;1.0;75;75004;2.3653176;48.84798541;Appartement;456700.0
