date_mutation;surface_reelle_bati;nombre_pieces_principales;code_departement;code_postal;longitude;latitude;type_local;valeur_fonciere
2025-06-30;100.0;3.0;75;75002;2.343089118;48.86737091;Appartement;2045700.0
2025-06-24;66.0;3.0;75;75002;2.348824548;48.86953881;Appartement;690640.0
2025-06-23;104.0;3.0;75;75002;2.339806731;48.86630986;Appartement;1550000.0
2025-06-19;51.0;3.0;75;75002;2.345275086;48.86562579;Deux appartements;330000.0
2025-06-18;30.0;2.0;75;75002;2.347292887;48.86443506;Appartement;463450.0
2025-06-16;32.0;2.0;75;75002;2.352963347;48.86859876;Appartement;270750.0
2025-06-16;53.0;0.0;75;75002;2.348011305;48.86959538;Activite;490000.0
2025-06-13;33.0;2.0;75;75002;2.349902437;48.86535435;Appartement;337000.0
2025-06-06;40.0;2.0;75;75002;2.349311762;48.86559552;Appartement;430000.0
2025-06-05;52.0;2.0;75;75002;2.335691567;48.87035845;Appartement;840000.0
2025-05-28;30.0;0.0;75;75002;2.336858949;48.86788854;Activite;400000.0
2025-05-28;45.0;3.0;75;75002;2.344365994;48.86570144;Appartement;566050.0
2025-05-27;63.0;2.0;75;75002;2.351191091;48.86883394;Appartement;600000.0
2025-05-23;36.0;0.0;75;75002;2.341706373;48.87071447;Activite;705000.0
2025-05-20;97.0;5.0;75;75002;2.336721771;48.86743586;Deux appartements;400.0
2025-05-20;115.0;4.0;75;75002;2.343862367;48.87019379;Appartement;3000.0
2025-05-19;50.0;3.0;75;75002;2.347292887;48.86443506;Appartement;557200.0
2025-05-14;90.0;0.0;75;75002;2.348470308;48.86420487;Activite;973000.0
2025-05-12;70.0;0.0;75;75002;2.346430904;48.86562552;Activite;340000.0
2025-05-12;95.0;0.0;75;75002;2.346430904;48.86562552;Activite;11370.0
2025-05-09;34.0;1.0;75;75002;2.352521549;48.86857977;Appartement;417000.0
2025-05-07;50.0;2.0;75;75002;2.344272546;48.86723169;Appartement;535000.0
2025-05-06;30.0;2.0;75;75002;2.343453854;48.8693219;Appartement;340000.0
2025-05-06;33.0;2.0;75;75002;2.347421468;48.86544679;Appartement;340000.0
2025-04-29;70.0;3.0;75;75002;2.346731913;48.86569988;Appartement;861000.0
2025-04-29;70.0;0.0;75;75002;2.350426742;48.86952562;Activite;2550000.0
2025-04-28;50.0;0.0;75;75002;2.351923008;48.86874577;Activite;550000.0
2025-04-25;70.0;2.0;75;75002;2.346065063;48.86631289;Appartement;1250830.0
2025-04-25;69.0;2.0;75;75002;2.34643068;48.86724753;Appartement;711208.0
2025-04-24;103.0;5.0;75;75002;2.348613546;48.86442678;Appartement;1230000.0
2025-04-23;109.0;4.0;75;75002;2.336766772;48.86696059;Appartement;1890000.0
2025-04-17;40.0;2.0;75;75002;2.35288729;48.86815296;Appartement;372000.0
2025-04-14;33.0;2.0;75;75002;2.34888854;48.86628798;Appartement;107000.0
2025-04-07;31.0;2.0;75;75002;2.344379268;48.86971767;Appartement;472000.0
2025-03-31;40.0;1.0;75;75002;2.34737661;48.866459;Appartement;405000.0
2025-03-31;31.0;0.0;75;75002;2.340872965;48.87087197;Activite;400000.0
2025-03-31;38.0;2.0;75;75002;2.347174085;48.86801451;Appartement;420000.0
2025-03-28;50.0;2.0;75;75002;2.350341211;48.86612412;Bati mixte - logement/activite;500000.0
2025-03-28;93.0;3.0;75;75002;2.350243992;48.86802332;Appartement;1380000.0
2025-03-28;66.0;2.0;75;75002;2.340987641;48.8711962;Appartement;800000.0
2025-03-28;88.0;3.0;75;75002;2.341706373;48.87071447;Appartement;1090000.0
2025-03-27;48.0;3.0;75;75002;2.344973269;48.86574804;Appartement;580000.0
2025-03-27;30.0;2.0;75;75002;2.349891172;48.86460881;Appartement;350000.0
2025-03-27;100.0;0.0;75;75002;2.347635616;48.86765849;Activite;1450000.0
2025-03-27;101.0;4.0;75;75002;2.339152635;48.86927023;Appartement;1130000.0
2025-03-26;108.0;2.0;75;75002;2.3446963;48.86537774;Bati mixte - logement/activite;755000.0
2025-03-26;35.0;2.0;75;75002;2.347144005;48.86773684;Appartement;190000.0
2025-03-26;86.0;0.0;75;75002;2.347585509;48.86910766;Activite;680000.0
2025-03-24;83.0;3.0;75;75002;2.344149366;48.86582714;Appartement;794000.0
2025-03-24;120.0;0.0;75;75002;2.341601633;48.87049142;Activite;82140.0
2025-03-20;30.0;2.0;75;75002;2.350341211;48.86612412;Appartement;399100.0
2025-03-20;35.0;1.0;75;75002;2.349774499;48.86510449;Appartement;409400.0
2025-03-19;60.0;0.0;75;75002;2.335810804;48.86757969;Activite;400000.0
2025-03-19;65.0;2.0;75;75002;2.348336053;48.86879523;Appartement;676900.0
2025-03-14;52.0;3.0;75;75002;2.344573248;48.86512828;Appartement;738750.0
2025-03-13;62.0;3.0;75;75002;2.347635272;48.86495853;Appartement;901650.0
2025-03-11;70.0;0.0;75;75002;2.349910551;48.87005885;Activite;380000.0
2025-03-10;37.0;3.0;75;75002;2.348472171;48.868183;Appartement;430000.0
2025-03-10;106.0;5.0;75;75002;2.34484101;48.86884595;Deux appartements;1215000.0
2025-03-06;87.0;4.0;75;75002;2.351867385;48.86756691;Appartement;1232800.0
2025-03-06;70.0;0.0;75;75002;2.34888854;48.86628798;Activite;850000.0
2025-03-05;90.0;3.0;75;75002;2.347636675;48.86605623;Appartement;960000.0
2025-03-04;54.0;0.0;75;75002;2.348794752;48.86472871;Activite;400000.0
2025-03-04;55.0;2.0;75;75002;2.347938152;48.86526521;Appartement;611000.0
2025-02-28;46.0;0.0;75;75002;2.35143961;48.86809522;Activite;100000.0
2025-02-28;46.0;3.0;75;75002;2.348980185;48.86907935;Appartement;460000.0
2025-02-27;50.0;3.0;75;75002;2.345275086;48.86562579;Appartement;346320.0
2025-02-27;90.0;3.0;75;75002;2.345964478;48.86520075;Appartement;897500.0
2025-02-27;50.0;3.0;75;75002;2.345275086;48.86562579;Appartement;100.0
2025-02-26;30.0;2.0;75;75002;2.348346586;48.87024733;Appartement;265000.0
2025-02-25;51.0;3.0;75;75002;2.344904902;48.8669707;Appartement;505000.0
2025-02-21;62.0;2.0;75;75002;2.335263641;48.86870515;Appartement;712500.0
2025-02-20;52.0;3.0;75;75002;2.347871435;48.86469237;Appartement;543000.0
2025-02-18;35.0;2.0;75;75002;2.350364289;48.86567733;Appartement;252000.0
2025-02-14;38.0;1.0;75;75002;2.335050053;48.86840276;Appartement;367680.0
2025-02-14;32.0;2.0;75;75002;2.348768245;48.86428996;Deux appartements;345000.0
2025-02-13;38.0;3.0;75;75002;2.347520027;48.86665423;Appartement;451000.0
2025-02-13;45.0;1.0;75;75002;2.352312808;48.86876002;Appartement;500.0
2025-02-12;55.0;3.0;75;75002;2.346524725;48.86600766;Appartement;431000.0
2025-02-11;45.0;2.0;75;75002;2.346758895;48.868119;Appartement;437000.0
2025-02-11;104.0;0.0;75;75010;2.351265555;48.87515526;Activite;1220000.0
2025-02-10;39.0;2.0;75;75002;2.348027113;48.86973858;Appartement;591400.0
2025-02-07;93.0;3.0;75;75002;2.33885095;48.86865213;Appartement;927100.0
2025-02-07;30.0;1.0;75;75002;2.347955797;48.86890275;Appartement;275000.0
2025-02-05;38.0;2.0;75;75002;2.34638035;48.86572173;Appartement;475000.0
2025-01-31;37.0;2.0;75;75002;2.347144005;48.86773684;Appartement;425000.0
2025-01-30;65.0;3.0;75;75002;2.347177094;48.86550852;Appartement;680000.0
2025-01-30;48.0;2.0;75;75002;2.347396922;48.86494158;Appartement;610000.0
2025-01-30;40.0;0.0;75;75002;2.344698369;48.86976277;Activite;90000.0
2025-01-29;120.0;0.0;75;75002;2.333588752;48.8689427;Activite;1600000.0
2025-01-28;80.0;3.0;75;75002;2.340807174;48.87156741;Appartement;5000.0
2025-01-28;100.0;0.0;75;75002;2.350133113;48.86900739;Activite;600000.0
2025-01-27;46.0;2.0;75;75002;2.344149366;48.86582714;Appartement;535000.0
2025-01-24;34.0;2.0;75;75002;2.346758895;48.868119;Appartement;370000.0
2025-01-21;70.0;3.0;75;75002;2.349260215;48.86481686;Appartement;953600.0
2025-01-17;91.0;4.0;75;75002;2.349274535;48.87005955;Appartement;226000.0
2025-01-16;36.0;2.0;75;75002;2.347955797;48.86890275;Appartement;282250.0
2025-01-16;43.0;2.0;75;75002;2.339030961;48.8709341;Appartement;516600.0
