Référence DVF;Date de vente;Mois;Année;Mois-Année;Type de mutation;Département;Communes;Adresse complète;Adresse libellé;Code postal;Commune;Cadastre;Nature des biens;Montant de la cession hors droits;Surface Bâtie;Surface Terrain;Nombre de pièces;Prix / m² bâti;Prix / m² terrain;Zonage;Fiche détaillée urbanisme;Documents urbanisme;Coordonnées X;Coordonnées Y
be38e1232986858dbaf37cba865ac13b;30/06/2025;06;2025;06-2025;Vente;75;{75108};155 Rue Du Faubourg Saint Honore 75008 Paris 08;155 Rue Du Faubourg Saint Honore;75008;PARIS 08;{75108000BD0012};Activite;1420000;89;0;0;15955,06;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BD_0012};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,306719074;48,87413732
6dbb67baa94371cd8e9b2802ab6bdd91;27/06/2025;06;2025;06-2025;Vente;75;{75108};105 Bd Haussmann 75008 Paris 08;105 Bd Haussmann;75008;PARIS 08;{75108000CJ0080};Un appartement;980000;79;0;4;12405,06;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_CJ_0080};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,317149465;48,87480043
ba27598f17261100a3e0e587910e5316;26/06/2025;06;2025;06-2025;Vente;75;{75108};26 Av Montaigne 75008 Paris 08;26 Av Montaigne;75008;PARIS 08;{75108000AK0010};Un appartement;3500000;111;0;2;31531,53;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AK_0010};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,305856195;48,86641689
ec44d634b3baa61dd60b5c2441bc7712;25/06/2025;06;2025;06-2025;Vente;75;{75108};18 Rue Marbeuf 75008 Paris 08;18 Rue Marbeuf;75008;PARIS 08;{75108000AN0024};Un appartement;600000;80;0;4;7500;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AN_0024};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,303587018;48,86816537
150daae2d431534a8220527582a366df;24/06/2025;06;2025;06-2025;Vente;75;{75108};13 Rue D Aguesseau 75008 Paris 08;13 Rue D Aguesseau;75008;PARIS 08;{75108000BN0039};Un appartement;1497100;90;0;4;16634,44;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BN_0039};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,319427689;48,8705674
4f2fcaa5249df9e11ef5821cefec8887;23/06/2025;06;2025;06-2025;Vente;75;{75108};105 Bd Haussmann 75008 Paris 08;105 Bd Haussmann;75008;PARIS 08;{75108000CJ0080};Un appartement;742400;62;0;2;11974,19;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_CJ_0080};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,317149465;48,87480043
2a4b623b86d1641760e2043345e7bf82;20/06/2025;06;2025;06-2025;Vente;75;{75108};6 Av Matignon 75008 Paris 08;6 Av Matignon;75008;PARIS 08;{75108000BJ0042};Un appartement;636000;49;0;2;12979,59;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BJ_0042};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,313147431;48,87019573
d4ac85660cfdf1964a8267633fd59bc9;20/06/2025;06;2025;06-2025;Vente;75;{75108};28 Rue De Ponthieu 75008 Paris 08;28 Rue De Ponthieu;75008;PARIS 08;{75108000BI0008,75108000BI0010};Un appartement;1043677;77;0;2;13554,25;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BI_0008,https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BI_0010};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,308632527;48,87143005
92daf14cd5c56c5c4b400cc16263e386;18/06/2025;06;2025;06-2025;Vente;75;{75108};22 Rue D Artois 75008 Paris 08;22 Rue D Artois;75008;PARIS 08;{75108000BE0003};Un appartement;1210000;99;0;4;12222,22;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BE_0003};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,307162885;48,87364252
01c7cd2132cb8a133d06a18ba323d384;16/06/2025;06;2025;06-2025;Vente;75;{75108};23 Rue La Boetie 75008 Paris 08;23 Rue La Boetie;75008;PARIS 08;{75108000BL0012};Activite;660000;61;0;0;10819,67;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BL_0012};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,316643664;48,87382423
502a37aab6782bdf7bfd9b66fcbb4d49;16/06/2025;06;2025;06-2025;Vente;75;{75108};54 Rue De Lisbonne 75008 Paris 08;54 Rue De Lisbonne;75008;PARIS 08;{75108000CM0009};Un appartement;1800000;113;0;3;15929,2;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_CM_0009};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,309131969;48,87766992
1144e6b51cd97389e92fe9cb2fbe56b9;12/06/2025;06;2025;06-2025;Vente;75;{75108};52 Rue Du Faubourg Saint Honore 75008 Paris 08;52 Rue Du Faubourg Saint Honore;75008;PARIS 08;{75108000BN0029};Un appartement;684374;46;0;1;14877,7;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BN_0029};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,32013493;48,86974308
5e3ef3537b8fab253a6b98e08301d65e;10/06/2025;06;2025;06-2025;Vente;75;{75108};22 Rue Cambaceres 75008 Paris 08;22 Rue Cambaceres;75008;PARIS 08;{75108000BL0023};Un appartement;355225;30;0;2;11840,83;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BL_0023};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,318062902;48,87347668
08ad8ef12b0d8a2d4761894ded4bb454;10/06/2025;06;2025;06-2025;Vente;75;{75108};8 Rue Rabelais 75008 Paris 08;8 Rue Rabelais;75008;PARIS 08;{75108000BJ0001};Un appartement;880400;73;0;3;12060,27;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BJ_0001};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,312166229;48,87135155
cd34df62dcc40da791a7b0d364db2820;06/06/2025;06;2025;06-2025;Vente;75;{75108};76 Av Des Champs Elysees 75008 Paris 08;76 Av Des Champs Elysees;75008;PARIS 08;{75108000BG0009};Bati mixte - logement/activite;613000;45;0;1;13622,22;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BG_0009};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,304587746;48,87167122
cff65ed07f7c48e7abf8521d0990460c;04/06/2025;06;2025;06-2025;Vente;75;{75108};37 Bd Malesherbes 75008 Paris 08;37 Bd Malesherbes;75008;PARIS 08;{75108000BM0049};Un appartement;900000;72;0;3;12500;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BM_0049};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,320450277;48,87311941
5e7eaff3f1ea6e6354b79bded3686da9;02/06/2025;06;2025;06-2025;Vente;75;{75108};11 Rue De Berri 75008 Paris 08;11 Rue De Berri;75008;PARIS 08;{75108000BF0016};Un appartement;430000;30;0;2;14333,33;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BF_0016};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,303763754;48,87257272
469a37850c7488d0dca46674404058fc;28/05/2025;05;2025;05-2025;Vente;75;{75108};25 Rue Du Faubourg Saint Honore 75008 Paris 08;25 Rue Du Faubourg Saint Honore;75008;PARIS 08;{75108000BP0025};Un appartement;400000;35;0;2;11428,57;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BP_0025};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,321063883;48,86876733
364a862b9837fe2b7b6806d253333888;28/05/2025;05;2025;05-2025;Vente;75;{75108};44 Av Montaigne 75008 Paris 08;44 Av Montaigne;75008;PARIS 08;{75108000AM0020};Un appartement;1270000;45;0;2;28222,22;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AM_0020};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,307948567;48,86756697
21215aaf3cbe8e97827c087175b2dfc8;28/05/2025;05;2025;05-2025;Vente;75;{75108};98 Rue La Boetie 75008 Paris 08;98 Rue La Boetie;75008;PARIS 08;{75108000BG0049};Un appartement;930000;106;0;5;8773,58;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BG_0049};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,308774496;48,87208268
74a61551f7a83ec87057bbd4285c45a6;27/05/2025;05;2025;05-2025;Vente;75;{75108};58 Rue De Monceau 75008 Paris 08;58 Rue De Monceau;75008;PARIS 08;{75108000CM0036};Un appartement;987600;82;0;4;12043,9;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_CM_0036};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,312248189;48,87821741
7a71f3ee4f857be3deffcd4357875b68;27/05/2025;05;2025;05-2025;Vente;75;{75108};118 Bd Haussmann 75008 Paris 08;118 Bd Haussmann;75008;PARIS 08;{75108000CJ0060};Un appartement;1295486;104;0;4;12456,6;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_CJ_0060};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,318579364;48,87509094
d543568971cd683f841d13de4cc90bdb;26/05/2025;05;2025;05-2025;Vente;75;{75108};8 Av Montaigne 75008 Paris 08;8 Av Montaigne;75008;PARIS 08;{75108000AK0045};Un appartement;1632000;51;0;1;32000;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AK_0045};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,304703248;48,86569608
58920da0eb67ba698bc1a43a9ac0a95e;26/05/2025;05;2025;05-2025;Vente;75;{75108};20 Av De Friedland 75008 Paris 08;20 Av De Friedland;75008;PARIS 08;{75108000AV0024};Activite;680000;60;0;0;11333,33;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AV_0024};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,30035349;48,87470203
f611bd73c55d0de95539f4a892bab3d9;23/05/2025;05;2025;05-2025;Vente;75;{75108};8 Av Montaigne 75008 Paris 08;8 Av Montaigne;75008;PARIS 08;{75108000AK0045};Activite;902500;43;0;0;20988,37;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AK_0045};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,304703248;48,86569608
bd71d5a78e68b3a398056662b6f83a0d;22/05/2025;05;2025;05-2025;Vente;75;{75108};25 Av De Marigny 75008 Paris 08;25 Av De Marigny;75008;PARIS 08;{75108000BO0009};Activite;450000;58;0;0;7758,62;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BO_0009};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,31567213;48,8709348
567f8f0cd3f07a1a77a9c797904d8bbc;20/05/2025;05;2025;05-2025;Vente;75;{75108};44 Av Gabriel 75008 Paris 08;44 Av Gabriel;75008;PARIS 08;{75108000BJ0052};Un appartement;949980;48;0;1;19791,25;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BJ_0052};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,313047964;48,86989734
6ec6128fbdf6a7dedb1f0e325a063570;20/05/2025;05;2025;05-2025;Vente;75;{75108};65 Rue Du Faubourg Saint Honore 75008 Paris 08;65 Rue Du Faubourg Saint Honore;75008;PARIS 08;{75108000BJ0025};Activite;480000;31;0;0;15483,87;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BJ_0025};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,315293653;48,87133609
2612efd3706676270083b52b22465cd0;19/05/2025;05;2025;05-2025;Vente;75;{75108};8 Av Montaigne 75008 Paris 08;8 Av Montaigne;75008;PARIS 08;{75108000AK0045};Un appartement;1632000;68;0;2;24000;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AK_0045};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,304703248;48,86569608
96212d48c8ad40419a56276bb3ede62e;16/05/2025;05;2025;05-2025;Vente;75;{75108};5 Rue Robert Estienne 75008 Paris 08;5 Rue Robert Estienne;75008;PARIS 08;{75108000AQ0010};Activite;1600000;106;0;0;15094,34;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AQ_0010};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,305286118;48,86877783
110fe2a0a791844a3bcd9a1da82e4066;15/05/2025;05;2025;05-2025;Vente;75;{75108};157 Rue Du Faubourg Saint Honore 75008 Paris 08;157 Rue Du Faubourg Saint Honore;75008;PARIS 08;{75108000BD0013};Activite;1195000;63;0;0;18968,25;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BD_0013};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,306387058;48,87429626
2044ed784ccf1af5a37e50dac869820f;15/05/2025;05;2025;05-2025;Vente;75;{75108};9 Rue Frederic Bastiat 75008 Paris 08;9 Rue Frederic Bastiat;75008;PARIS 08;{75108000BF0045};Appartement indetermine;250000;40;0;3;6250;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BF_0045};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,307068296;48,87286365
d9f8081de3d01fdf9c7a12d3dfae20d2;13/05/2025;05;2025;05-2025;Vente;75;{75108};63 Av Des Champs Elysees 75008 Paris 08;63 Av Des Champs Elysees;75008;PARIS 08;{75108000AR0031};Activite;2500000;120;0;0;20833,33;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AR_0031};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,304276016;48,87026522
04f588ddd4f2083fb603530c74f7e6ff;12/05/2025;05;2025;05-2025;Vente;75;{75108};10 Rue Quentin Bauchart 75008 Paris 08;10 Rue Quentin Bauchart;75008;PARIS 08;{75108000AP0075};Un appartement;850000;55;0;3;15454,55;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AP_0075};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,300096608;48,86903281
b611b5de1501aac6fda5bfbd2be85c9a;07/05/2025;05;2025;05-2025;Vente;75;{75108};76 Av Des Champs Elysees 75008 Paris 08;76 Av Des Champs Elysees;75008;PARIS 08;{75108000BG0009};Un appartement;900000;39;0;1;23076,92;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BG_0009};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,304587746;48,87167122
05b0124cc2c93881acc247e662950269;05/05/2025;05;2025;05-2025;Vente;75;{75108};13 Rue D Aguesseau 75008 Paris 08;13 Rue D Aguesseau;75008;PARIS 08;{75108000BN0039};Un appartement;1213900;86;0;3;14115,12;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BN_0039};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,319427689;48,8705674
e5ad1db8e5a3a388d41be0f60fc2c087;05/05/2025;05;2025;05-2025;Vente;75;{75108};1 Rue Magellan 75008 Paris 08;1 Rue Magellan;75008;PARIS 08;{75108000AP0016};Un appartement;870000;82;0;4;10609,76;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_AP_0016};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,30011675;48,86954099
7d99782af4741307438dd24b4b55b47c;30/04/2025;04;2025;04-2025;Vente;75;{75108};50 Rue De Miromesnil 75008 Paris 08;50 Rue De Miromesnil;75008;PARIS 08;{75108000CJ0027};Un appartement;360000;60;0;3;6000;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_CJ_0027};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,316097717;48,87457957
b3c628bd3d4788b4b65780a1dfde956a;30/04/2025;04;2025;04-2025;Vente;75;{75108};2 Pas Saint Philippe Du Roule 75008 Paris 08;2 Pas Saint Philippe Du Roule;75008;PARIS 08;{75108000BE0080};Un appartement;420000;45;0;2;9333,33;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BE_0080};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,31076717;48,87298349
fcbe1005bdbe99029fd9f6e2236ee79d;30/04/2025;04;2025;04-2025;Vente;75;{75108};52 Rue Du Faubourg Saint Honore 75008 Paris 08;52 Rue Du Faubourg Saint Honore;75008;PARIS 08;{75108000BN0029};Un appartement;800000;44;0;2;18181,82;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BN_0029};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,32013493;48,86974308
f0c1cd7ab9a92fe634ee3cab87f10f2e;29/04/2025;04;2025;04-2025;Vente;75;{75108};11 B Rue De Surene 75008 Paris 08;11 B Rue De Surene;75008;PARIS 08;{75108000BN0013};Un appartement;1300000;120;0;5;10833,33;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_108_000_000_BN_0013};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,320914839;48,87077404
