Référence DVF;Date de vente;Mois;Année;Mois-Année;Type de mutation;Département;Communes;Adresse complète;Adresse libellé;Code postal;Commune;Cadastre;Nature des biens;Montant de la cession hors droits;Surface Bâtie;Surface Terrain;Nombre de pièces;Prix / m² bâti;Prix / m² terrain;Zonage;Fiche détaillée urbanisme;Documents urbanisme;Coordonnées X;Coordonnées Y
56d4994363c69b4cf2ac3bd14ca76212;30/06/2025;06;2025;06-2025;Vente;75;{75113};66 B Rue Albert 75013 Paris 13;66 B Rue Albert;75013;PARIS 13;{75113000CP0074};Un appartement;413000;47;0;3;8787,23;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CP_0074};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,371573529;48,82666267
427b08983024d54efff49616004f8327;30/06/2025;06;2025;06-2025;Vente;75;{75113};75 Rue De Patay 75013 Paris 13;75 Rue De Patay;75013;PARIS 13;{75113000CP0082};Un appartement;730000;105;0;3;6952,38;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CP_0082};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,372694289;48,82639963
b4b7bb9d22d818b3c2d6f4b957fd7a6f;26/06/2025;06;2025;06-2025;Vente;75;{75113};82 Bd Massena 75013 Paris 13;82 Bd Massena;75013;PARIS 13;{75113000CV0005};Un appartement;460000;77;0;4;5974,03;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CV_0005};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,367398622;48,82174952
38648856e756be790009df3f84909774;25/06/2025;06;2025;06-2025;Vente;75;{75113};85 Rue Albert 75013 Paris 13;85 Rue Albert;75013;PARIS 13;{75113000CP0047};Un appartement;303020;30;0;2;10100,67;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CP_0047};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,37020183;48,82708694
4dd0ac37503f45e988c6b1a1f9be40fb;25/06/2025;06;2025;06-2025;Vente;75;{75113};7 Sq Dunois 75013 Paris 13;7 Sq Dunois;75013;PARIS 13;{75113000BN0002};Un appartement;499275;78;0;4;6400,96;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BN_0002};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,367065677;48,83375412
cb23591b93182aac3694872ec3d19496;24/06/2025;06;2025;06-2025;Vente;75;{75113};1 Quai D Austerlitz 75013 Paris 13;1 Quai D Austerlitz;75013;PARIS 13;{75113000AG0016};Un appartement;456000;56;0;2;8142,86;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_AG_0016};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,373093706;48,8376299
09639dbe9dedc1d09460961ac841c0ec;19/06/2025;06;2025;06-2025;Vente;75;{75113};69 Rue Dunois 75013 Paris 13;69 Rue Dunois;75013;PARIS 13;{75113000BM0002};Un appartement;347520;46;0;2;7554,78;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BM_0002};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,366283854;48,83276856
e158f860126d57028d983f820655c3cc;17/06/2025;06;2025;06-2025;Vente;75;{75113};10 Vla D Este 75013 Paris 13;10 Vla D Este;75013;PARIS 13;{75113000CV0005};Un appartement;342000;70;0;3;4885,71;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CV_0005};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,367398622;48,82174952
eebd1f365419fe07c0a5b4ad4b0c9eb5;17/06/2025;06;2025;06-2025;Vente;75;{75113};11 Rue De La Vistule 75013 Paris 13;11 Rue De La Vistule;75013;PARIS 13;{75113000DU0070};Un appartement;599900;82;0;4;7315,85;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_DU_0070};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,360806689;48,8230534
277f86d4b6941ae524463ef38e565365;11/06/2025;06;2025;06-2025;Vente;75;{75113};17 Rue Dunois 75013 Paris 13;17 Rue Dunois;75013;PARIS 13;{75113000BL0073};Un appartement;252165;30;0;1;8405,5;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BL_0073};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,369608705;48,83022342
bd1b93991e1a5e4f43ff4c316d7f41d8;11/06/2025;06;2025;06-2025;Vente;75;{75113};10 Vla D Este 75013 Paris 13;10 Vla D Este;75013;PARIS 13;{75113000CV0005};Un appartement;204135;34;0;1;6003,97;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CV_0005};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,367398622;48,82174952
50cd6f6f51124e9de40dd50e0b056a9b;10/06/2025;06;2025;06-2025;Vente;75;{75113};2 Rue De Reims 75013 Paris 13;2 Rue De Reims;75013;PARIS 13;{75113000BH0043};Un appartement;366300;52;0;2;7044,23;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BH_0043};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,372084195;48,8289336
fd62a21e93b8a1e8e529332cb4b2506d;28/05/2025;05;2025;05-2025;Vente;75;{75113};28 Rue Albert 75013 Paris 13;28 Rue Albert;75013;PARIS 13;{75113000CO0043};Un appartement;284850;38;0;2;7496,05;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CO_0043};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,37286059;48,82497173
7d2cc7b47ddd5240e56c101d7b705072;27/05/2025;05;2025;05-2025;Vente;75;{75113};110 Rue De Patay 75013 Paris 13;110 Rue De Patay;75013;PARIS 13;{75113000BH0040};Un appartement;530000;61;0;3;8688,52;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BH_0040};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,370869664;48,82841736
248bd7060e1bcbd56bc9927e007683c2;20/05/2025;05;2025;05-2025;Vente;75;{75113};82 Bd Massena 75013 Paris 13;82 Bd Massena;75013;PARIS 13;{75113000CV0005};Un appartement;340000;64;0;3;5312,5;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CV_0005};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,367398622;48,82174952
e47fa8dbb1c53708046a7a3254ea1961;16/05/2025;05;2025;05-2025;Vente;75;{75113};3 Rue Henri Pape 75013 Paris 13;3 Rue Henri Pape;75013;PARIS 13;{75113000DV0075};Un appartement;350000;33;0;1;10606,06;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_DV_0075};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,355108731;48,8245883
6ed69561e803b7ee3c72a17d3fe047c1;13/05/2025;05;2025;05-2025;Vente;75;{75113};16 Rue Albert 75013 Paris 13;16 Rue Albert;75013;PARIS 13;{75113000CO0039};Un appartement;425100;48;0;3;8856,25;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CO_0039};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,373534054;48,82460832
d8a8673e0a2c926f02daa75c6c22a503;05/05/2025;05;2025;05-2025;Vente;75;{75113};162 Av D Italie 75013 Paris 13;162 Av D Italie;75013;PARIS 13;{75113000DQ0227};Un appartement;610000;81;0;4;7530,86;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_DQ_0227};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,358069342;48,82162146
6382d4303c2efb1e798d78953cfa8a68;30/04/2025;04;2025;04-2025;Vente;75;{75113};54 Rue Jeanne D Arc 75013 Paris 13;54 Rue Jeanne D Arc;75013;PARIS 13;{75113000BL0003};Activite;175000;31;0;0;5645,16;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BL_0003};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,366839893;48,83118471
b38824f8dfa54029651ffddd2aadc190;30/04/2025;04;2025;04-2025;Vente;75;{75113};19 Rue De Richemont 75013 Paris 13;19 Rue De Richemont;75013;PARIS 13;{75113000BH0061};Un appartement;363500;50;0;2;7270;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BH_0061};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,369560429;48,8278141
f58ea0d4ea003fca38cd6d4fb63426d3;30/04/2025;04;2025;04-2025;Vente;75;{75113};7 Rue Dunois 75013 Paris 13;7 Rue Dunois;75013;PARIS 13;{75113000BH0024};Un appartement;1077700;118;0;5;9133,05;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BH_0024};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,370516127;48,82984332
21a53dfc5db337cfd71eaa9a59952421;30/04/2025;04;2025;04-2025;Vente;75;{75113};28 Rue De Tolbiac 75013 Paris 13;28 Rue De Tolbiac;75013;PARIS 13;{75113000BI0027};Un appartement;535000;63;0;3;8492,06;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BI_0027};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,373299271;48,82895158
8ceeb227d80af68cd954d8c4c8ea349d;29/04/2025;04;2025;04-2025;Vente;75;{75113};6 Rue George Eastman 75013 Paris 13;6 Rue George Eastman;75013;PARIS 13;{75113000AY0016};Un appartement;8500;64;0;3;132,81;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_AY_0016};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,359049632;48,82922166
a0e7ba0d1adbd5652e40bf0854b615be;25/04/2025;04;2025;04-2025;Vente;75;{75113};5 Pl D Italie 75013 Paris 13;5 Pl D Italie;75013;PARIS 13;{75113000AX0016};Un appartement;434000;51;0;3;8509,8;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_AX_0016};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,356672218;48,83201505
3177de59a8a065abff389b619fad4555;25/04/2025;04;2025;04-2025;Vente;75;{75113};10 Vla D Este 75013 Paris 13;10 Vla D Este;75013;PARIS 13;{75113000CV0005};Un appartement;260000;43;0;2;6046,51;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_CV_0005};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,367398622;48,82174952
b6964dc917e6c53750080814f87f00f6;25/04/2025;04;2025;04-2025;Vente;75;{75113};70 Rue De Tolbiac 75013 Paris 13;70 Rue De Tolbiac;75013;PARIS 13;{75113000BB0024};Un appartement;310000;35;0;2;8857,14;0;{UG};{https://www.geoportail-urbanisme.gouv.fr/map/parcel-info/75_113_000_000_BB_0024};https://www.geoportail-urbanisme.gouv.fr/document/by-id/4a02192762e3f46a75fe0f69f31c2bf2;2,367442312;48,82728579
